"time" "pam" "paf"
"1" 1 3.4 2.2
"2" 2 3.8 2.1
"3" 3 1.7 2.4
"4" 4 1.1 2.2
"5" 5 1.6 2.3
"6" 6 2.5 1.9
"7" 7 3 2.1
"8" 8 3.6 2.9
"9" 9 3.2 2.4
"10" 10 1.7 2.4
"11" 11 2.9 2.5
"12" 12 3 2.2
"13" 13 3 2.7
"14" 14 2.5 2.2
"15" 15 3.2 2.7
"16" 16 3.9 3.9
"17" 17 3.4 2.5
"18" 18 3 1.4
"19" 19 4 1.7
"20" 20 3.3 2.1
"21" 21 2.7 2.1
"22" 22 2.6 2.5
"23" 23 3.1 2.5
"24" 24 2.6 2
"25" 25 1.8 1.8
"26" 26 2.6 2.6
"27" 27 2.9 2.4
"28" 28 3.2 3
"29" 29 4.1 2.8
"30" 30 4.1 3.3
"31" 31 3 2
"32" 32 4.1 2.7
"33" 33 4.4 2.5
"34" 34 2.9 2.3
"35" 35 3.6 3.5
"36" 36 4 2.7
"37" 37 3.5 3.7
"38" 38 2.9 2.3
"39" 39 2.3 2.5
"40" 40 2.7 2.7
"41" 41 3.7 2.6
"42" 42 4.4 2.5
"43" 43 3.3 2.4
"44" 44 4.4 2.5
"45" 45 3.8 2.1
"46" 46 3.3 3.4
"47" 47 3 1.4
"48" 48 3.2 2.8
"49" 49 3.9 2.4
"50" 50 3.3 3
"51" 51 2.8 1.9
"52" 52 2.8 2.3
"53" 53 3.3 2.4
"54" 54 3.7 1.3
"55" 55 3.7 3.2
"56" 56 3.1 2.8
"57" 57 3.1 3.1
"58" 58 3.2 2.2
"59" 59 3.4 2.3
"60" 60 2.4 2.8
"61" 61 3.5 2.6
"62" 62 3 2.6
"63" 63 3 2.1
"64" 64 3.6 2.5
"65" 65 3.3 1.9
"66" 66 3.1 2.6
"67" 67 3 2.3
"68" 68 2.5 1.7
"69" 69 3 2.2
"70" 70 2.6 2.3
"71" 71 2.9 1.6
"72" 72 4.1 1.9
"73" 73 4 2.8
"74" 74 1.9 2.2
"75" 75 3.8 2.3
"76" 76 3 3.9
"77" 77 1.7 3.1
"78" 78 1.7 3.2
"79" 79 2.9 3.1
"80" 80 2.4 2.7
"81" 81 3.1 2.3
"82" 82 3.9 2.4
"83" 83 3.6 2.6
"84" 84 3.6 3.1
"85" 85 3.6 2.7
"86" 86 3.4 2.6
"87" 87 4.4 3
"88" 88 3.5 2.7
"89" 89 4 1.9
"90" 90 4 3
"91" 91 3.8 3.2
